Study number,Study authors & year,Number of samples,Number of mislabeled samples,fraction fish mislabeled,Fraud map category,Sampling Area (where retail fish purchased),Country,Date of Study,repeat?,fish name (sortable),seafood type,Label,Actual. (Latin),Actual. (Common),Species group,Total. N (mislabeled),Point in supply chain,Amount of processing,Notes,Health Risk,Species Geographic Range,IUCN Conservation Status,Reference ,Publishing date,Type of study,Website,In fraud map?,Fraud Map ID#,In endnote?,Mislabeling (DNA verified),Potentially Farmed?,farmed n,Fraud/mislabeling?,,,,,,,,,
1,Wong & Hanner 2008,,,,,NE US and Canada,USA,,,kingfish,kingfish,Kingfish,Scomberomorus cavalla,King mackerel,mackerel  ,1,retail,,"S. cavalla is not listed in the FDA seafood list for ‘‘Kingfish”. This species does appear on the CFIA list of acceptable names. However, this sample was collected in the United States.",NT+P+H+M,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,2004,,"caviar, Beluga","caviar, Sturgeon ",Beluga caviar,Cyclopterus lumpus,Lumpfish roe,"roe, lumpfish",1,,,Pauly 2004 Darwins fishes,,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,2007,,"caviar, Beluga","caviar, Sturgeon ",Beluga caviar,Polyodon spathula,American paddlefish,caviar/roe,1,,,2006 FDA Table: examples substituted seafood,EC,,VU,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,2007,,"cod, Rock",cod,Rock cod,Squalus acanthias,Spiny dogfish (Shark),shark,1,,,Gorton's Fresh Seafood online glossary,M ,,VU,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,2006,,"drum, red",drum,Red drum,Pogonias cromis,Black drum,drum,1,,,2006 FDA Table: examples substituted seafood,EC,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,2006,,lobster,lobster,Lobster,Nephrops norvegicus,Langoustine ,lobster,1,,,2006 Hendandes Foodmanagement.com article,,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,,,"perch, White",perch,White perch,Perca flavescens,Yellow perch,perch,1,,,2006 FDA Table: examples substituted seafood,EC,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,,,"perch, Yellow ",perch,Yellow perch,Sander lucioperca,zander,zander,1,,,2006 FDA Table: examples substituted seafood,EC,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,1933,,salmon,salmon,"salmon,canned",Not Specified,mackerel,mackerel  ,1,,,"(Kallet and Schlink 1933, from Jacquet and Pauly 2008).",,,,,,,,yes,,,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,,,"salmon, Pink",salmon,Pink Salmon,Oncorhynchus keta,chum salmon,salmon,1,,,2006 FDA Table: examples substituted seafood,P+EC,,NE,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,,,scallop,scallop,Scallops,Not Specified,Skate ,skate,1,,,2006 FDA Table: examples substituted seafood,M,,,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,,,"snapper, Red",snapper,Red snapper,Coryphaena hippurus,Mahi Mahi,dolphinfish,1,,,,H+NT,,LC,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,1992,,"snapper, Red",snapper,Red snapper,Not Specified,Not Specified,Not Specified,1,,,1992 Consumer Reports story cited,,,,,2008,,,yes,,yes,,,,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,2008,,"snapper, Red",snapper,Red snapper,Ictalurus punctatus,Channel catfish,catfish,1,,,,EC+AqD,,LC,,2008,,,yes,,yes,,yes,1,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,,USA,USA,,,"snapper, Red",snapper,Red snapper,Oreochromis spp.,Tilapia,Tilapia,1,,,,EC+AqD,,,,2008,,,yes,,yes,,yes,1,,,,,,,,,,
2,Jacquet & Pauly 2008,,,,instance,USA,USA,2008,,"sole, Dover",sole,Dover sole,Atheresthes stomias,Arrowtooth flounder,flounder,1,,,2006 FDA Table: examples substituted seafood; 2007 CBS news,na,,NE,"Jacquet, J. L., & Pauly, D. (2008). Trade secrets: renaming and mislabeling of seafood. Marine Policy, 32, 309-318. doi: doi:10.1016/j.marpol.2007.06.007",2008,Peer Reviewed Journal. Article,,yes,2,yes,,,,,,,,,,,,,
3,Marko et al. 2004,22,17,0.77,75-100,"US 8 states: DE, FL, IL, MA, NY, NC,SC, WI",USA,2004,,"snapper, Red",snapper,Red snapper,Rhomboplites aurorubens,Vermilion snapper,snapper,3,retail,,n=3,NT,,VU,"Marko, P. B., Lee, S. C., Rice, A. M., Gramling, J. M., Fitzhenry, T. M., McAlister, J. S., Moran, A. L. (2004). Fisheries: mislabelling of a depleted reef fish. Nature, 430(6997), 309-310. doi: 10.1038/430309b",2004,Peer Reviewed Journal. Article,,yes,5,yes,yes,,,,,,,,,,,,
3,Marko et al. 2004,,,,,,USA,2004,,"snapper, Red",snapper,Red snapper,Lutjanus erythropterus,Crimson snapper,snapper,8,retail,,n=8,NT,,NE,,2004,,,yes,,,,,,,,,,,,,,,
3,Marko et al. 2004,,,,,,USA,2004,,"snapper, Red",snapper,Red snapper,Lutjanus synagris,Lane Snapper,snapper,6,retail,,n=6,NT,,NE,,2004,,,yes,,,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,snapper,snapper,imported snapper,Not Specified,Not Specified,Not Specified,2,retail/fish dealer,,2 samples,,,,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Pacific",snapper,pacific snapper,Not Specified,Not Specified,Not Specified,1,retail/fish dealer,,1 sample,,,,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, pink porgy",snapper,pink porgy snapper,Not Specified,Not Specified,Not Specified,1,retail/fish dealer,,1 sample,,,,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,121,63,0.52,50-75,Florida,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus analis,Mutton Snapper,snapper,3,retail/fish dealer,,"red snapper overall - 81 samples, 70% mislabeled; of this species swap = 3 samples",NT,,VU,"Hsieh, Y.-H. P., Woodward, B. B., & Blanco, A. W. (1995). Species substitution of retail snapper fillets. Journal. of Food Quality, 18(2), 131-140. doi: DOI: 10.1111/j.1745-4557.1995.tb00368.x",1995,Peer Reviewed Journal. Article,,yes,18,yes,yes,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus griseus,Gray Snapper,snapper,7,retail/fish dealer,,7 samples,NT,,LC,,1995,,,yes,,yes,,,,,,,,,,,,,
4,Hsieh et al. 1995,,,,,,USA,1995,,"snapper, Red",snapper,Red snapper,Lutjanus malabaricus,Malabar Snapper,snapper,4,retail/fish dealer,,4 samples,NT,,NE,,1995,,,yes,,yes,,,,,,,,,,,,,
